L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
3.4,42.875,182,0,0,0,0,0,0,0,0,0
3.4,45.019,0,0,0,0,0,0,0,0,0,0
3.8,1,4.12e+08,8.23e+07,8.89e+06,27700,475,0,0,0,0,0
3.8,1.761,2.23e+08,3.1e+07,2.46e+06,8060,131,0,0,0,0,0
3.8,3.521,1.16e+08,1.25e+07,816000,2770,47.2,0,0,0,0,0
3.8,7.042,6.36e+07,5.35e+06,304000,1090,20.3,0,0,0,0,0
3.8,10.563,4.29e+07,3.5e+06,175000,636,0,0,0,0,0,0
3.8,14.085,3.15e+07,2.49e+06,118000,435,0,0,0,0,0,0
3.8,17.606,2.48e+07,1.91e+06,84000,328,0,0,0,0,0,0
3.8,21.127,2.02e+07,1.47e+06,63700,255,0,0,0,0,0,0
3.8,24.648,1.63e+07,1.15e+06,48200,203,0,0,0,0,0,0
3.8,28.169,1.26e+07,906000,37100,161,0,0,0,0,0,0
3.8,31.69,9.79e+06,668000,28700,126,0,0,0,0,0,0
3.8,35.211,7.42e+06,489000,20600,97.7,0,0,0,0,0,0
3.8,38.732,5.63e+06,338000,14600,72,0,0,0,0,0,0
3.8,42.254,3.54e+06,214000,9570,52,0,0,0,0,0,0
3.8,45.775,1.93e+06,115000,5770,34.7,0,0,0,0,0,0
3.8,49.472,795000,47000,2710,20.4,0,0,0,0,0,0
3.8,52.993,194000,13100,927,10.5,0,0,0,0,0,0
3.8,56.514,46000,3040,240,0,0,0,0,0,0,0
3.8,59.859,8710,625,52.6,0,0,0,0,0,0,0
3.8,63.556,388,23.5,0,0,0,0,0,0,0,0
3.8,65.493,47.4,0,0,0,0,0,0,0,0,0
4.2,1,2.61e+08,3.75e+07,2.14e+06,1830,0,0,0,0,0,0
4.2,1.188,2.18e+08,2.79e+07,1.24e+06,1130,0,0,0,0,0,0
4.2,2.375,1.05e+08,9.76e+06,329000,310,0,0,0,0,0,0
4.2,4.751,6.16e+07,4.34e+06,122000,119,0,0,0,0,0,0
4.2,9.501,3.61e+07,2.18e+06,54500,55.4,0,0,0,0,0,0
4.2,14.252,2.51e+07,1.48e+06,33500,36.5,0,0,0,0,0,0
